Key,translation notes,en-US,pl-PL,zh-CN,zh-TW,fr-FR,de-DE,it-IT,ja-JP,ko-KR,pt-BR,es-ES
language_name,language name in a given language,English,Polski,简体中文,繁體中文,Français,Deutsch,Italiano,日本語,한국어,Português,Español
language_name_en,language name in English,English,Polish,Chinese Simplified,Chinese Traditional,French,German,Italian,Japanese,Korean,Portuguese-Brazil,Spanish
menu_loading,label in the bottom-right corner of a loading screen,loading...,trwa ładowanie...,加载,載入中,chargement...,laden...,caricamento...,ロード中,로드 중,carregando...,cargando...
menu_options_enabled,generic words for toggling options,Enabled,Włączone,启用,啟用,Activé,An,Abilitato,ON,활성화,Ativado,Activado
menu_options_disabled,,Disabled,Wyłączone,禁用,禁用,Désactivé,Aus,Disabilitato,OFF,비활성화,Desativado,Desactivado
menu_options_yes,generic words used for buttons,Yes,Tak,是,是,Oui,Ja,Sì,はい,예,Sim,Sí
menu_options_no,,No,Nie,否,否,Non,Nein,No,いいえ,아니요,Não,No
,,,,,,,,,,,,
,below are separate sections for our game credits,,,,,,,,,,,
credits_3d,3D modeler,3D models,Modele 3D,三维模型,3D模型,Modèles 3D,3D-Modelle,Modelli 3D,3Dモデル,3D 모형,Modelos em 3D,Modelos 3D
credits_addprogramming,developer of external tools we used in production,Additional programming,Wsparcie programistyczne,外部程序员,外部程序員,Programmation additionnelle,Zusätzliche Programmierung,Programmazione aggiuntiva,追加プログラミング,추가 프로그래밍,Programação adicional,Programación adicional
credits_addart,additional art,Additional art,Dodatkowe grafiki,外部美工,外部美工,Visuels supplémentaires,Zusätzliche Grafiken,Arte aggiuntiva,追加アート,추가 아트,Arte adicional,Arte adicional
credits_artdirection,art direction (concepts),Art direction,Kierunek artystyczny,艺术指导,藝術指導,Direction graphique,Künstlerische Leitung,Direzione artistica,美術監督,아트 디렉터,Direção de arte,Dirección de arte
credits_music,musician,Music,Muzyka,音乐,音樂,Musique,Musik,Musica,BGM音量,효과음,Música,Música
credits_sound,audio engineer,Sound,Dźwięki,音效,音效,Effets sonores,Sound,Effetti sonori,SE音量,음향 효과,Efeitos de som,Efectos
credits_promoart,promotional art (for stores),Promotional art,Grafiki promocyjne,宣发资料,宣發資料,Visuels promotionnels,Marketingmaterial,Arte promozionale,プロモーション用アート,홍보용 아트,Arte promocional,Arte promocional
credits_prototype,developers of the original prototype,Original prototype by,Oryginalny prototyp,原版制作者,原版製作者,Prototype original par,Ursprünglicher Prototyp von,Prototipo originale di,原型制作,오리지널 프로토타입,Protótipo original concebido por,Prototipo original de
credits_branding,branding (game's logo),Branding,Branding,品牌推广,品牌推廣,Branding,Branding,Branding,ブランディング,브랜딩,Marca,Imagen de marca
credits_trailer,editor for game's video trailer,Trailer,Zwiastun,預告片,預告片,Bande-annonce,Trailer,Trailer,トレーラー,트레일러,Trailer,Avance
credits_localization,localization,Localization,Lokalizacja,本地化,本地化,Localisation,Lokalisierung,Localizzazione,翻訳,현지화,Localização,Localización
credits_assets,"3rd party assets (e.g. sfx, icons) used in the game",Additional assets,Dodatkowa zawartość,额外资源,額外資源,Ressources extérieures,Zusätzliche Assets,Risorse aggiuntive,外部ソース,추가 에셋,Recursos adicionais,Material adicional
credits_testers,players who tested the game,Playtesting,Testerzy,测试人员,測試人員,Testeurs,Tester,Tester,テスター,테스터,Testadores,Testers
credits_special,special thanks,Special thanks,Specjalne podziękowania,特别感谢,特別感謝,Remerciements particuliers,Besondere Danken,Ringraziamenti speciali,スペシャルサンクス,고마운 분들,Agradecimentos especiais,Agradecimientos especiales
credits_pets,our pets (cats/dogs),Pets,Zwierzaki,宠物,寵物,Animaux,Haustiere,Amici animali,ペット,애완동물,Mascotes,Mascotas
credits_prototype_mentoring,mentors that cooperated with creating the original prototype,Mentoring,Mentoring,指导,指導,Mentors,Mentoring,Affiancamento,メンタリング,멘토링,Assessoria,Asesoramiento
credits_prototype_transfer,people responsible for IP transfer for the original prototype,IP Transfer,Transfer IP,转让,转让,Transfert,IP-Transfer,Trasferimento PI,移転,양도,Transferência de PI,Transferencia de derechos de autor
credits_babies,children,Babies,Dzieciaki,婴儿,嬰兒,Bébés,Babys,Bambini,赤ちゃん,아기들,Bebês,Bebés nacidos
credits_office,office management intern,Office intern,Stażysta biurowy,办公室实习生,辦公室實習生,Stagiaire de bureau,Büropraktikant,Stagista,オフィス・インターン,사무 인턴,Aprendiz de gestão,Becarios
extra_chars,,,,一二三,,,,,一二三,,,
,,,,,,,,,,,,
